"loss_krig","loss_dnn","loss_dk","loss_ck"
3.28766361136346,4.05743408203125,2.93602871894836,2.90410232543945
3.97386091739436,4.94183874130249,3.85057282447815,3.53518676757812
4.61903393972703,2.90090990066528,4.88935947418213,4.54694318771362
3.41598705187052,3.68821310997009,2.99434733390808,3.46100807189941
5.12706787731337,4.33231687545776,4.8976469039917,4.46471405029297
3.65644326169968,4.08169651031494,4.05664682388306,3.75971364974976
2.35261499427129,2.91411066055298,2.40839910507202,2.5532763004303
4.16240506687731,3.59546422958374,2.82137632369995,3.36629390716553
2.81130763801691,4.20360374450684,2.8194408416748,2.98916673660278
3.64611822426397,3.47558546066284,3.49513125419617,3.18077683448792
